iter	Passed	Remaining
0	2	1263
1	4	1191
2	6	1154
3	9	1135
4	11	1157
5	13	1137
6	16	1143
7	18	1132
8	21	1152
9	23	1150
10	25	1151
11	28	1153
12	30	1151
13	33	1146
14	35	1149
15	37	1139
16	40	1137
17	42	1132
18	44	1125
19	46	1126
20	49	1119
21	51	1117
22	53	1111
23	55	1110
24	58	1111
25	60	1106
26	63	1105
27	65	1102
28	67	1100
29	70	1099
30	72	1096
31	74	1091
32	76	1087
33	79	1083
34	81	1082
35	83	1081
36	86	1078
37	88	1076
38	90	1072
39	93	1070
40	95	1068
41	97	1064
42	100	1065
43	102	1062
44	104	1061
45	107	1058
46	109	1054
47	111	1052
48	113	1048
49	116	1045
50	118	1042
51	120	1039
52	123	1037
53	125	1034
54	127	1030
55	129	1027
56	131	1025
57	134	1023
58	136	1020
59	138	1016
60	140	1013
61	142	1009
62	145	1005
63	147	1003
64	149	1000
65	151	997
66	153	995
67	156	992
68	158	991
69	160	988
70	163	986
71	165	983
72	167	981
73	170	980
74	172	977
75	174	975
76	177	973
77	179	971
78	182	971
79	185	971
80	187	970
81	189	967
82	192	964
83	194	962
84	197	963
85	199	962
86	202	961
87	205	960
88	208	962
89	212	965
90	214	965
91	218	967
92	220	966
93	224	968
94	226	966
95	229	967
96	232	965
97	234	962
98	236	959
99	238	955
100	241	953
101	243	950
102	247	952
103	249	950
104	252	951
105	255	949
106	258	948
107	262	952
108	268	962
109	272	964
110	275	966
111	280	970
112	283	969
113	285	967
114	289	967
115	291	966
116	295	967
117	298	966
118	301	964
119	303	962
120	307	962
121	311	965
122	314	965
123	318	965
124	321	964
125	324	962
126	327	960
127	330	959
128	333	958
129	337	961
130	341	962
131	344	961
132	348	960
133	350	958
134	353	956
135	356	953
136	360	954
137	362	951
138	365	949
139	368	946
140	371	945
141	373	942
142	377	941
143	380	940
144	383	938
145	385	935
146	388	933
147	391	930
148	394	928
149	396	926
150	400	924
151	402	921
152	405	919
153	408	916
154	410	914
155	413	912
156	416	910
157	419	907
158	423	907
159	425	904
160	428	902
161	431	900
162	434	899
163	437	896
164	440	893
165	442	891
166	445	888
167	448	886
168	452	885
169	454	883
170	457	880
171	460	878
172	463	876
173	466	874
174	470	873
175	473	871
176	477	870
177	479	867
178	483	867
179	486	865
180	489	862
181	492	860
182	495	857
183	497	854
184	501	853
185	503	850
186	506	848
187	509	846
188	513	845
189	516	842
